,collection,model_uuid,time_built,model_type,featurizer,features,splitter,split_strategy,split_uuid,umap_dim,umap_targ_wt,umap_neighbors,umap_min_dist,layer_sizes,dropouts,learning_rate,best_epoch,max_epochs,rf_estimators,rf_max_features,rf_max_depth,xgb_gamma,xgb_learning_rate,dataset_bucket,dataset_key,dataset_size,parameter,train_size,train_roc_auc_score,train_prc_auc_score,train_accuracy_score,train_precision,train_recall_score,train_matthews_cc,valid_size,valid_roc_auc_score,valid_prc_auc_score,valid_accuracy_score,valid_precision,valid_recall_score,valid_matthews_cc,test_size,test_roc_auc_score,test_prc_auc_score,test_accuracy_score,test_precision,test_recall_score,test_matthews_cc
0,./content,50b3bfef-5514-4d79-be9e-4fb38954f6fa,1673131298,RF,ecfp,ecfp,scaffold,train_valid_test,9b8e3c8a-5d81-49d8-9271-da5f4c71efd4,,,,,,,,,,512,2048,12,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.989085142,0.883498357,0.89955198,0.917739325,0.696523349,0.860829673,3962,0.908808936,0.612155944,0.795810197,0.640547626,0.492199032,0.689720546,4354,0.907308565,0.615099908,0.794441893,0.528524704,0.492372123,0.702521906
1,./content,53afbb25-98ba-426c-985c-6cda078984c5,1673130754,RF,ecfp,ecfp,scaffold,train_valid_test,777962c5-8ecf-4be2-8aef-d18a6affc623,,,,,,,,,,512,2048,10,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.976400102,0.826180307,0.865848692,0.888477797,0.634876649,0.814402999,3962,0.895364408,0.587290481,0.768046441,0.73351758,0.478617667,0.651696556,4354,0.887300326,0.582049243,0.759531465,0.498453249,0.467404614,0.655943057
2,./content,23dda432-7381-466a-adc8-2906d499f121,1673133073,RF,ecfp,ecfp,scaffold,train_valid_test,46c81177-c5b8-4eee-b23f-622b9c1c3f64,,,,,,,,,,2048,512,10,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.986943998,0.851857946,0.864270441,0.912345223,0.636157735,0.81307892,3962,0.926449696,0.627597255,0.78066633,0.610109628,0.487175833,0.673191037,4354,0.909477732,0.60011044,0.777905374,0.511696555,0.48353745,0.685878603
3,./content,1a5d56d9-3624-4519-9caf-b9f687fc7a8d,1673135106,RF,ecfp,ecfp,scaffold,train_valid_test,aea56d4e-815d-4e73-ab3d-006c8628585b,,,,,,,,,,2048,2048,12,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.989131659,0.883244055,0.898584666,0.913036732,0.697562135,0.859475039,3962,0.910556409,0.609467103,0.796314992,0.638770315,0.491705507,0.6910439,4354,0.910664751,0.619722934,0.792145154,0.528177042,0.493200291,0.699199655
4,./content,54ac38db-9630-4cb5-84c0-e7d16c365a9e,1673131692,RF,ecfp,ecfp,scaffold,train_valid_test,7d8a3e99-1ed7-4a6e-a6bc-3dd5299dd45a,,,,,,,,,,1024,1024,10,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.986051543,0.854702579,0.868546991,0.898852272,0.629211689,0.81853901,3962,0.916648275,0.621611755,0.780161535,0.59850502,0.479769071,0.67015082,4354,0.909906491,0.604984029,0.780431787,0.509833965,0.486550714,0.688114157
5,./content,35b0627d-9aef-49d1-a2ef-5ea7daaac58c,1673133939,RF,ecfp,ecfp,scaffold,train_valid_test,ca6a5ca4-ea0a-4abe-9a69-50a80681cb67,,,,,,,,,,2048,2048,10,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.976891213,0.82541723,0.866052337,0.888673005,0.631961803,0.814720393,3962,0.900313421,0.588813849,0.767289248,0.73185394,0.478080862,0.650355471,4354,0.888068077,0.583090161,0.760450161,0.505954399,0.471729598,0.657190829
6,./content,caf23501-7d74-4d64-96e8-fa18696cf79a,1673132209,RF,ecfp,ecfp,scaffold,train_valid_test,eb1d4b2a-8aef-4f5b-aa2f-e0425edc10ca,,,,,,,,,,1024,512,12,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.993430739,0.893351346,0.902504837,0.922963637,0.693813182,0.86544106,3962,0.940950859,0.648237514,0.811711257,0.788009053,0.510941849,0.716379023,4354,0.933195682,0.631837536,0.811208085,0.523758527,0.506944359,0.729578835
7,./content,ce5d9712-6f3f-407b-a02d-74428fcb67f9,1673132844,RF,ecfp,ecfp,scaffold,train_valid_test,0e52cd5f-dfcd-41e7-8ef0-a5698f490dad,,,,,,,,,,1024,2048,12,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.989273374,0.882782643,0.899093779,0.912835446,0.696687881,0.860171405,3962,0.911374095,0.610879188,0.795053004,0.717883782,0.490169354,0.688719197,4354,0.907074689,0.614601802,0.795130914,0.528390914,0.494501607,0.703459052
8,./content,94982e8f-60e3-4c78-be7c-4ef1dfbef74e,1673130528,RF,ecfp,ecfp,scaffold,train_valid_test,2647a32b-2256-4cf0-afb0-27de56582b66,,,,,,,,,,512,1024,10,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.986158843,0.852830177,0.869972508,0.907598875,0.644445125,0.820387943,3962,0.912539405,0.622201375,0.787985866,0.609634779,0.496994823,0.681961227,4354,0.90288859,0.598793579,0.782728525,0.510928648,0.485982051,0.690870001
9,./content,7402915d-1dbf-467a-a878-cb224d07a18c,1673133412,RF,ecfp,ecfp,scaffold,train_valid_test,bddfaf9f-0d9b-4549-8859-7ee9e8a5eec3,,,,,,,,,,2048,1024,10,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.985738855,0.852540125,0.868139701,0.90486586,0.631569844,0.817971045,3962,0.916487694,0.620742965,0.780161535,0.601188899,0.479541611,0.670021787,4354,0.909527079,0.603139578,0.782269178,0.511226887,0.485820905,0.690395557
10,./content,45468be2-1a0c-4b8b-8b08-c84862a57e8c,1673130358,RF,ecfp,ecfp,scaffold,train_valid_test,33699848-ef9b-4527-98b3-e15a082c9d1e,,,,,,,,,,512,512,10,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.986828614,0.849788012,0.866408716,0.909342794,0.62019268,0.815930269,3962,0.923336914,0.621435169,0.784199899,0.611421714,0.489522758,0.678036316,4354,0.912127977,0.598321475,0.77882407,0.511588878,0.48422907,0.687339986
11,./content,545c0b8c-73cb-42b4-a9f6-e53b504fba24,1673132495,RF,ecfp,ecfp,scaffold,train_valid_test,cbbc2c5b-d4bb-47b9-9cf3-13f0b8f6e151,,,,,,,,,,1024,1024,12,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.99297872,0.896356149,0.902912127,0.922507367,0.70071299,0.865819338,3962,0.930761474,0.641405672,0.811963655,0.787745141,0.520040751,0.715648293,4354,0.922545382,0.633484382,0.81212678,0.525410545,0.506647015,0.730084335
12,./content,d3ff32b3-34e4-421c-8b8a-b9b1c6c7573e,1673134527,RF,ecfp,ecfp,scaffold,train_valid_test,8481aee4-d7e7-49b8-8770-fe072b2109fd,,,,,,,,,,2048,1024,12,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.993209802,0.897489349,0.903523063,0.92247996,0.700043638,0.866611374,3962,0.928661433,0.641375882,0.81019687,0.778566601,0.504411935,0.712393401,4354,0.928351738,0.635470583,0.811208085,0.523976876,0.507853008,0.729122426
13,./content,5478e397-ec81-47ca-8bd7-2b1dbe338113,1673134178,RF,ecfp,ecfp,scaffold,train_valid_test,8af23666-01a8-453e-8df7-4fba5149b42a,,,,,,,,,,2048,512,12,,,public,/scratch/mmahmed/5ht_atomsci/ml_N_2048/5ht_a/ml_5htc_RF/data_ready_to_model.csv,27958,label,19642,0.993494011,0.894121925,0.902657571,0.925951137,0.695227134,0.865634931,3962,0.939325557,0.649202711,0.816506815,0.790850092,0.514294011,0.723407209,4354,0.931917288,0.635672261,0.811897106,0.52417318,0.507277471,0.730692271
